등번호,이름,팀명,포지션,생년월일,학력,키_cm,몸무게_kg
,,,,,,,
,,,,,,,
,,117.0,강민균,LG,강남초-서울이수중-덕수고-홍익대,,
,,5.0,강민성,KT,대구옥산초-경상중-경북고,,
,,127.0,강민성,삼성,연현초-잠신중-안산공고,,
,,13.0,강민제,KIA,군산중앙초-군산중-군산상일고,,
,,50.0,강백호,KT,부천북초-서울이수중-서울고,,
,,,강성우,롯데,대전유천초-한밭중-청주고-롯데-상무,,
,,23.0,강승호,두산,순천북초-천안북중-북일고-LG-경찰-LG-SK,,
,,27.0,강진성,키움,가동초-잠신중-경기고-NC-경찰-NC-두산-SSG,,
,,58.0,강진형,고양,덕수정보고-인하대,,
,,6.0,강한울,삼성,사당초-중앙중-안산공고-원광대-KIA-삼성-상무,,
,,18.0,고명준,SSG,서원초-세광중-세광고-SK,,
,,2.0,고승민,롯데,군산신풍초-천안북중-북일고,,
,,44.0,고영우,키움,부산대연초(사상구리틀)-대동중-경남고-성균관대,,
,,9.0,공민규,삼성,서화초-동산중-인천고-삼성-상무,,
,,124.0,곽민호,LG,역삼초-자양중-배명고,,
,,6.0,구본혁,LG,중대초-잠신중-장충고-동국대-LG-상무,,
,,65.0,구자욱,삼성,본리초-경복중-대구고-삼성-상무,,
,,17.0,권광민,한화,서울청구초-홍은중-장충고,,
,,52.0,권동진,KT,제주신광초-세광중-세광고-원광대-KT-상무,,
,,71.0,권혁빈,키움,칠성초-경상중-대구고,,
,,56.0,김건,한화,양정초-개성중-경남고,,
,,12.0,김건희,키움,대전신흥초-온양중-원주고,,
,,36.0,김경민,고양,중앙고-고려대,,
,,14.0,김규성,KIA,갈산초-선린중-선린인터넷고,,
,,3.0,김남훈,고양,경주고-영동대,,
,,5.0,김도영,KIA,광주대성초-광주동성중-광주동성고,,
,,107.0,김도윤,LG,화중초(덕양구리틀)-경기신일중-야탑고,,
,,121.0,김동규,롯데,안일초(안양시리틀)-현도중-포항제철고,,
,,48.0,김동준,두산,군산신풍초-군산중-군산상고,,
,,,김두현,KIA,수원신곡초-공주중-공주고-동원대-KIA-상무,,
,,16.0,김민성,롯데,고명초-잠신중-덕수정보고-(영남사이버대)-롯데-히어로즈-키움-LG,,
,,16.0,김민수,LG,서화초-동산중-제물포고-롯데-경찰-롯데,,
,,10.0,김민혁,두산,광주대성초-광주동성중-광주동성고,,
,,124.0,김민호,두산,화곡초-선린중-성남고-한양대,,
,,55.0,김범석,LG,김해삼성초-경남중-경남고,,
,,23.0,김병휘,키움,효제초-홍은중-장충고,,
,,7.0,김상수,KT,대구옥산초-경복중-경북고-삼성,,
,,125.0,김상준,삼성,양덕초-마산동중-물금고-동원과학기술대,,
,,44.0,김석환,KIA,광주서석초-광주동성중-광주동성고,,
,,3.0,김선빈,KIA,화순초-화순중-화순고-KIA-상무,,
,,56.0,김성민,SSG,서울학동초-자양중-경기고-SK,,
,,36.0,김성진,LG,수원신곡초-매향중-야탑고,,
,,6.0,김성현,SSG,송정동초-충장중-광주제일고-SK-상무-SK,,
,,119.0,김세민,롯데,강릉중앙초-하슬라중-강릉고,,
,,9.0,김세훈,NC,매호초(경산시리틀)-경운중-경북고,,
